time,cart_pos,pend_pos,cart_vel,pend_vel,force
1.050103425979614258e+00,8.798972656249998137e-02,2.870078054134034495e+00,3.131582797749584146e-01,-7.515617096715994983e+00,3.208498693807765978e+00
1.060106277465820312e+00,9.130324218749998055e-02,2.796446976315523969e+00,3.312571049934452949e-01,-7.361008800345369529e+00,3.179938354143678758e+00
1.070107698440551758e+00,9.470753906249998466e-02,2.724349879284898801e+00,3.403813201744980144e-01,-7.208685367087159790e+00,3.143057421549082076e+00
1.080108642578125000e+00,9.827070312499998350e-02,2.652252782254273633e+00,3.562827682551790165e-01,-7.209029071541213085e+00,3.087094011371268820e+00
1.090109825134277344e+00,1.018792578124999848e-01,2.583223646799419626e+00,3.608128006102795382e-01,-6.902097333718794303e+00,3.046681941944997973e+00
1.100110530853271484e+00,1.055785937499999910e-01,2.514194511344565619e+00,3.699074886759172731e-01,-6.902426428141801296e+00,2.978322211400138197e+00
1.110111951828002930e+00,1.093687109374999883e-01,2.448233337465483217e+00,3.789578697942737051e-01,-6.595180229462700439e+00,2.926516565995690211e+00
1.120112895965576172e+00,1.132042187499999880e-01,2.386874105950057778e+00,3.835145721982501366e-01,-6.135343890673349065e+00,2.882567807773149138e+00
1.130113601684570312e+00,1.170851171874999902e-01,2.327048855222517698e+00,3.880624574452870013e-01,-5.982102904389554610e+00,2.816573970326778031e+00
1.140114545822143555e+00,1.210341015624999822e-01,2.268757585282863420e+00,3.948611571745289650e-01,-5.828576696139692537e+00,2.748103983673450212e+00
1.150115251541137695e+00,1.250284765624999905e-01,2.215068257706866106e+00,3.994093129261439556e-01,-5.368553888554709275e+00,2.698300550656707042e+00
1.160116195678710938e+00,1.290909374999999748e-01,2.164446891706639953e+00,4.062077421508077935e-01,-5.061658709805529455e+00,2.640591385564449833e+00
1.170116901397705078e+00,1.331760937499999742e-01,2.116893487282184516e+00,4.084867973108281536e-01,-4.755004872719952758e+00,2.584078705458849878e+00
1.180117845535278320e+00,1.373066406249999760e-01,2.073942025221386931e+00,4.130156931365772666e-01,-4.294740723471321964e+00,2.538176523517535088e+00
1.190118789672851562e+00,1.414825781249999803e-01,2.034058524736360063e+00,4.175543271270893975e-01,-3.987973528937710288e+00,2.487776972131614084e+00
1.200119495391845703e+00,1.457266015624999744e-01,1.997242985827104800e+00,4.243723949840265131e-01,-3.681294095008939671e+00,2.440165708120396015e+00
1.210120439529418945e+00,1.500160156249999710e-01,1.965029389281506278e+00,4.289009121033681704e-01,-3.221055542603525002e+00,2.403052230288107882e+00
