time,cart_pos,pend_pos,cart_vel,pend_vel,torque
2.439999999999999947e+00,4.598182594972996464e-04,3.140919181404199012e+00,3.889212361723705857e-04,-9.862667016931007252e-03,1.406377803186162866e-02
2.459999999999999964e+00,4.675966842207470364e-04,3.140721928063860524e+00,5.922825909671237260e-04,-9.321508166480450136e-03,2.302859045415482642e-02
2.479999999999999982e+00,4.794423360400895348e-04,3.140535497900530881e+00,9.348056324084436791e-04,-8.692125875230537549e-03,-6.817420327383303877e-03
2.500000000000000000e+00,4.981384486882583888e-04,3.140361655383026473e+00,7.005500472640664462e-04,-8.042582734438726358e-03,1.261150130935861056e-02
2.520000000000000018e+00,5.121494496335397568e-04,3.140200803728337764e+00,8.380651404057840384e-04,-7.146451769241273823e-03,1.205069214514226626e-02
2.540000000000000036e+00,5.289107524416554809e-04,3.140057874692952833e+00,9.494303825066971285e-04,-6.171151542982246559e-03,4.504951213932229664e-03
2.560000000000000053e+00,5.478993600917894148e-04,3.139934451662093284e+00,9.110813456237729828e-04,-5.122799596500118326e-03,-1.292576092372698174e-02
2.580000000000000071e+00,5.661209870042649200e-04,3.139831995670163245e+00,5.590622547721559900e-04,-3.957935706276142704e-03,-1.878113297602859721e-03
2.600000000000000089e+00,5.773022320997080745e-04,3.139752836956037907e+00,4.399127157142922336e-04,-2.567140661404332218e-03,-9.594154314047599261e-03
2.620000000000000107e+00,5.861004864139939246e-04,3.139701494142809857e+00,1.916534417770932768e-04,-1.069621497739125940e-03,-4.593395796722283750e-03
2.640000000000000124e+00,5.899335552495357533e-04,3.139680101712855276e+00,5.758869072113669105e-05,5.618426932918806158e-04,-2.561755932425940907e-03
2.660000000000000142e+00,5.910853290639584649e-04,3.139691338566721335e+00,-2.665844049835239509e-05,2.251930778973457864e-03,1.177659277900373024e-02
2.680000000000000160e+00,5.905521602539914395e-04,3.139736377182300586e+00,1.573757452025871550e-04,3.950228131036313817e-03,5.497535788208591720e-03
2.700000000000000178e+00,5.936996751580431294e-04,3.139815381744921474e+00,2.108331318944670063e-04,5.515599665237379441e-03,1.190383105343064025e-02
2.720000000000000195e+00,5.979163377959324874e-04,3.139925693738226276e+00,3.766522415184884749e-04,6.972676616956738870e-03,-1.734049257433837796e-02
2.740000000000000213e+00,6.054493826263022613e-04,3.140065147270565404e+00,-9.723704375796623535e-07,8.247953864128127269e-03,6.888192382415936170e-03
2.760000000000000231e+00,6.054299352175506388e-04,3.140230106347848160e+00,9.948474860195355006e-05,9.541209290926985775e-03,-4.372415159710312839e-03
