q11,q22,r,Vol
1.000000000000000056e-01,7.800000000000000711e+00,7.000000000000000666e-01,1.661376503548207140e+01
1.000000000000000056e-01,7.800000000000000711e+00,8.000000000000000444e-01,1.881688145822432290e+01
1.000000000000000056e-01,7.800000000000000711e+00,9.000000000000000222e-01,1.846943682369345652e+01
1.000000000000000056e-01,7.800000000000000711e+00,1.000000000000000000e+00,1.961985806221153439e+01
1.000000000000000056e-01,8.900000000000000355e+00,1.000000000000000056e-01,1.031379101376172081e+01
1.000000000000000056e-01,8.900000000000000355e+00,2.000000000000000111e-01,1.206356431721317790e+01
1.000000000000000056e-01,8.900000000000000355e+00,3.000000000000000444e-01,1.340921313238032297e+01
1.000000000000000056e-01,8.900000000000000355e+00,4.000000000000000222e-01,1.341602360005790473e+01
1.000000000000000056e-01,8.900000000000000355e+00,5.000000000000000000e-01,1.553722371314554351e+01
1.000000000000000056e-01,8.900000000000000355e+00,5.999999999999999778e-01,1.643498580455701585e+01
1.000000000000000056e-01,8.900000000000000355e+00,7.000000000000000666e-01,1.682372874819370878e+01
1.000000000000000056e-01,8.900000000000000355e+00,8.000000000000000444e-01,1.802559724923794704e+01
1.000000000000000056e-01,8.900000000000000355e+00,9.000000000000000222e-01,1.842143614804281526e+01
1.000000000000000056e-01,8.900000000000000355e+00,1.000000000000000000e+00,1.673156761312653629e+01
1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,9.154463025786157004e+00
1.000000000000000056e-01,1.000000000000000000e+01,2.000000000000000111e-01,1.174146506321254790e+01
1.000000000000000056e-01,1.000000000000000000e+01,3.000000000000000444e-01,1.300299394160771271e+01
1.000000000000000056e-01,1.000000000000000000e+01,4.000000000000000222e-01,1.407406436443968190e+01
1.000000000000000056e-01,1.000000000000000000e+01,5.000000000000000000e-01,1.501830579695572787e+01
1.000000000000000056e-01,1.000000000000000000e+01,5.999999999999999778e-01,1.433623812173986956e+01
1.000000000000000056e-01,1.000000000000000000e+01,7.000000000000000666e-01,1.664126383047686986e+01
1.000000000000000056e-01,1.000000000000000000e+01,8.000000000000000444e-01,1.737099848814079550e+01
1.000000000000000056e-01,1.000000000000000000e+01,9.000000000000000222e-01,1.574180221501883992e+01
1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000000e+00,1.804948758329111058e+01
1.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000056e-01,4.276840733884169055e+01
1.200000000000000178e+00,1.000000000000000056e-01,2.000000000000000111e-01,4.796417973741857566e+01
1.200000000000000178e+00,1.000000000000000056e-01,3.000000000000000444e-01,5.418228803416311479e+01
1.200000000000000178e+00,1.000000000000000056e-01,4.000000000000000222e-01,5.726734390879021674e+01
1.200000000000000178e+00,1.000000000000000056e-01,5.000000000000000000e-01,5.685928583471841335e+01
1.200000000000000178e+00,1.000000000000000056e-01,5.999999999999999778e-01,4.740333692677844368e+01
1.200000000000000178e+00,1.000000000000000056e-01,7.000000000000000666e-01,4.594858553300910131e+01
1.200000000000000178e+00,1.000000000000000056e-01,8.000000000000000444e-01,3.985070177485073373e+01
1.200000000000000178e+00,1.000000000000000056e-01,9.000000000000000222e-01,3.638764374129524271e+01
1.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+00,3.267086335717196022e+01
1.200000000000000178e+00,1.200000000000000178e+00,1.000000000000000056e-01,1.527088511003062443e+01
1.200000000000000178e+00,1.200000000000000178e+00,2.000000000000000111e-01,1.618919587573146046e+01
1.200000000000000178e+00,1.200000000000000178e+00,3.000000000000000444e-01,1.674540625955798490e+01
1.200000000000000178e+00,1.200000000000000178e+00,4.000000000000000222e-01,2.032277312044612216e+01
1.200000000000000178e+00,1.200000000000000178e+00,5.000000000000000000e-01,2.712356926893988529e+01
