time,cart_pos,pend_pos,cart_vel,pend_vel,force
5.300033092498779297e-01,2.611322656249999707e-01,2.867010092558263334e+00,4.311907879365819984e-01,3.681381859798426248e+00,-3.689620148636697294e+00
5.400028228759765625e-01,2.648996874999999807e-01,2.906893593043290203e+00,3.767605121480184227e-01,3.988544040875280139e+00,-4.103454455361408293e+00
5.500032901763916016e-01,2.680770312499999863e-01,2.951379035891973590e+00,3.177195279532726846e-01,4.448336413923092536e+00,-4.466408999150301540e+00
5.600028038024902344e-01,2.706416015624999449e-01,2.998932440316428583e+00,2.564695052573812140e-01,4.755571741043591594e+00,-4.829027175478154632e+00
5.700032711029052734e-01,2.725253124999999499e-01,3.051087787104540094e+00,1.883622915722975577e-01,5.215290968047759712e+00,-5.159006147722239533e+00
5.800042152404785156e-01,2.737735546874999759e-01,3.106311095468423211e+00,1.248124347390781042e-01,5.521809501606036896e+00,-5.433322479892318313e+00
5.900042057037353516e-01,2.743182421874999499e-01,3.164602365408077933e+00,5.446880194549486021e-02,5.829132553059475086e+00,-5.702223447911928922e+00
6.000041961669921875e-01,2.742274609374999450e-01,3.225961596923503372e+00,-9.078133657583403043e-03,6.135929003220441658e+00,-5.841447623681420787e+00
6.100037097930908203e-01,2.736146874999999534e-01,3.290388790014700415e+00,-6.128032426503814134e-02,6.443032681413893847e+00,-5.876661331474829275e+00
6.200039386749267578e-01,2.725480078124999372e-01,3.354815983105897459e+00,-1.066655273698280532e-01,6.442571850352377894e+00,-5.944564658677969682e+00
6.300036907196044922e-01,2.710728124999999822e-01,3.420777156984979861e+00,-1.475231891659866401e-01,6.596280946205017592e+00,-5.917421321414358282e+00
6.400039196014404297e-01,2.692571874999999393e-01,3.486738330864062263e+00,-1.815583444592833162e-01,6.595966418217881433e+00,-5.904246937423646813e+00
6.500041484832763672e-01,2.671238281249999624e-01,3.552699504743145109e+00,-2.133310547396505552e-01,6.595966418217925842e+00,-5.890154754870456699e+00
6.600039005279541016e-01,2.647408203124999582e-01,3.617126697834341709e+00,-2.383066901912168634e-01,6.442879063735116318e+00,-5.891623935037618054e+00
