q11,q22,r,Vol
6.400000000000000355e+00,1.000000000000000000e+01,1.000000000000000000e+00,7.099072432325847331e+02
8.199999999999999289e+00,1.000000000000000000e+01,1.000000000000000056e-01,4.832995269548963080e+01
8.199999999999999289e+00,1.000000000000000000e+01,2.800000000000000266e-01,1.646386995698873079e+02
8.199999999999999289e+00,1.000000000000000000e+01,4.599999999999999645e-01,2.908217014853636897e+02
8.199999999999999289e+00,1.000000000000000000e+01,6.400000000000000133e-01,4.258386566344685775e+02
8.199999999999999289e+00,1.000000000000000000e+01,8.199999999999999512e-01,5.686862693312471038e+02
8.199999999999999289e+00,1.000000000000000000e+01,1.000000000000000000e+00,7.192661344590561612e+02
1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000056e-01,4.570235493209818145e+01
1.000000000000000000e+01,1.000000000000000000e+01,2.800000000000000266e-01,1.639201482002491446e+02
1.000000000000000000e+01,1.000000000000000000e+01,4.599999999999999645e-01,2.927543877175443185e+02
1.000000000000000000e+01,1.000000000000000000e+01,6.400000000000000133e-01,4.300223578506004856e+02
1.000000000000000000e+01,1.000000000000000000e+01,8.199999999999999512e-01,5.752633836630076303e+02
1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,7.277390699573602433e+02
